Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageEpUncertaintyClipped	StdEpUncertaintyClipped	MaxEpUncertaintyClipped	MinEpUncertaintyClipped	Time
47	5855.7896	294.89438	6238.4497	5402.3066	8175.79	336.98254	8463.275	7252.4136	1000.0	1000.0	235000	762.6631	103.31802	898.06	386.64752	-765.7066	27.052574	1837.8027	55.577618	1898.168	1766.6771	1954.9642	50.968575	2007.5084	1891.2397	8403.137673854828
48	5864.2173	395.80713	6613.2812	5477.4604	7632.3047	1266.6915	8532.385	4069.9739	1000.0	1000.0	240000	768.0236	103.33447	903.7104	383.01465	-771.1061	27.035406	1800.081	53.884197	1858.665	1710.2338	1923.335	46.608124	1975.511	1846.8218	8587.596379518509
49	5804.233	260.82166	6247.525	5548.13	7813.9873	2270.5752	8767.408	1014.19415	1000.0	1000.0	245000	773.33606	101.64742	909.787	397.9938	-776.5778	27.68722	1868.8656	41.67959	1931.7017	1821.3049	1983.9836	39.01423	2040.8053	1937.7943	8771.479985952377
50	5435.1396	635.42523	6262.1904	4546.8667	8450.787	143.94717	8682.098	8164.407	1000.0	1000.0	250000	777.8369	101.113846	913.0258	391.212	-781.0798	28.527834	1873.5007	65.03248	1945.4631	1797.4514	1988.5385	64.04925	2057.5967	1914.5187	8956.04681444168
51	6121.4326	191.97932	6280.786	5757.8184	8138.293	168.24738	8403.286	7877.0537	1000.0	1000.0	255000	782.42175	99.97735	916.7769	378.94244	-785.702	28.143078	1848.2258	11.478112	1863.4579	1834.5679	1966.0114	9.430837	1979.527	1951.7538	9140.324469089508
52	5871.9053	426.07492	6286.6724	5128.9277	8436.303	123.37813	8700.295	8220.56	1000.0	1000.0	260000	786.3956	99.49256	919.68274	414.5738	-789.46606	28.251963	1879.5658	43.9941	1955.6417	1823.7198	1997.1133	36.70411	2063.0625	1955.3254	9324.574363470078
53	5964.6943	121.10605	6167.6714	5846.8794	8368.226	148.12546	8758.683	8233.713	1000.0	1000.0	265000	790.70746	98.113556	923.20544	418.61127	-793.7226	27.695757	1846.0527	38.513256	1901.8422	1783.5427	1967.7965	31.999105	2013.6107	1914.2272	9509.32869052887
54	6101.458	169.1986	6242.07	5822.1177	8713.969	174.17383	8968.502	8426.182	1000.0	1000.0	270000	795.0023	97.92044	929.1278	427.99014	-798.2216	27.441212	1838.792	26.198606	1883.4365	1802.8671	1961.7799	22.98934	2002.0042	1933.7625	9692.589456796646
55	6006.612	139.55986	6184.462	5835.18	8438.693	165.8579	8784.635	8220.012	1000.0	1000.0	275000	798.3063	99.47915	930.4543	407.88583	-800.9971	27.567656	1814.323	34.785892	1869.1139	1759.9012	1937.3461	32.60249	1992.5575	1890.7584	9876.585622549057
56	5843.6167	155.76456	6084.688	5632.3374	7995.4062	1524.4407	9092.835	4679.5977	1000.0	1000.0	280000	801.5284	101.09488	935.30835	410.2926	-804.8751	28.116243	1876.2914	28.023573	1910.1545	1833.7539	1990.7435	27.662449	2025.5613	1951.4293	10060.93897151947
57	6186.101	235.5369	6399.8003	5845.486	8969.411	195.76889	9234.631	8488.477	1000.0	1000.0	285000	805.2054	101.098366	938.83826	405.18292	-808.1707	27.450819	1864.9537	26.498482	1906.1597	1831.9088	1977.9711	23.432016	2013.941	1945.2097	10246.29339838028
58	5849.917	469.11566	6220.209	5083.3784	8583.618	130.22325	8886.732	8428.778	1000.0	1000.0	290000	808.3267	101.23977	944.7073	397.7037	-811.5111	27.954906	1886.8782	58.25766	1996.125	1820.8115	2007.4772	54.522053	2112.3047	1952.327	10430.855873346329
59	6237.383	212.45862	6522.378	5877.944	7903.483	417.0515	8289.974	6848.375	1000.0	1000.0	295000	811.053	102.04228	949.0107	411.08163	-813.9247	28.348553	1883.8572	21.675476	1924.7494	1863.3123	1998.5857	16.783785	2028.937	1982.5917	10615.648475646973
60	6026.662	366.59296	6472.0396	5597.281	8774.826	205.57741	9032.398	8270.327	1000.0	1000.0	300000	813.7383	101.9882	952.0589	411.03217	-816.8466	27.714281	1909.4724	67.37999	1998.9979	1793.8652	2025.0244	63.19585	2108.2764	1917.2444	10801.125533103943
61	5919.2227	270.84726	6410.798	5680.961	8856.757	213.40506	9090.749	8420.176	1000.0	1000.0	305000	816.9729	100.03166	949.71466	419.59076	-820.0855	27.273388	1951.6111	28.263655	2005.0015	1921.3553	2061.2524	27.18803	2114.652	2039.975	10985.282500505447
62	5844.032	716.9645	6531.84	4481.8945	8731.274	124.68171	8904.077	8498.995	1000.0	1000.0	310000	819.4362	99.45035	955.8236	431.42224	-822.54956	27.655182	1898.1598	64.34435	2017.1146	1838.8745	2016.419	59.660683	2128.968	1966.1599	11168.952612400055
63	6275.883	318.23935	6557.9546	5814.896	8649.341	672.9766	9053.714	6663.326	1000.0	1000.0	315000	822.5275	99.63043	960.1413	406.0515	-825.8494	27.416946	1921.221	51.891483	1972.9065	1854.2689	2031.3997	47.042366	2084.817	1973.0342	11352.917858362198
64	6250.2437	360.05765	6644.7637	5661.791	8590.293	153.17758	8785.904	8227.865	1000.0	1000.0	320000	825.61115	98.76306	967.6718	406.14264	-828.7932	27.55339	1883.6838	32.29469	1932.0747	1846.1583	2002.6799	27.681055	2045.0951	1973.5742	11536.189721345901
65	6087.9385	262.0114	6552.371	5760.216	8826.99	186.33557	9088.3125	8510.683	1000.0	1000.0	325000	828.29156	99.58603	978.0396	426.67215	-831.3868	28.040295	1875.819	20.349434	1906.7711	1850.7559	2003.8369	20.16408	2032.5961	1974.2168	11720.08888888359
66	6018.3286	261.40717	6240.0884	5529.43	8612.072	944.3215	9190.745	5805.6206	1000.0	1000.0	330000	831.02325	99.6845	980.1269	410.2517	-834.1065	27.55578	1880.8083	32.246006	1939.5726	1842.8367	2002.4056	25.805233	2047.2445	1970.9562	11904.640545606613
67	6301.6284	103.57071	6496.417	6199.9316	9188.76	158.91704	9512.474	8977.985	1000.0	1000.0	335000	834.0344	98.76499	984.41736	423.5135	-837.27844	27.478613	1885.2133	44.641758	1957.0133	1823.4247	2003.4537	39.55208	2072.2085	1953.9379	12089.311029434204
68	6415.2793	198.15422	6682.956	6145.5806	8893.614	137.8994	9084.146	8654.371	1000.0	1000.0	340000	837.1187	99.393814	987.30365	432.74237	-840.4203	27.724197	1874.3297	70.82701	2005.1287	1807.0857	1997.6638	57.99184	2104.4075	1939.5309	12275.02335190773
69	6120.1724	190.53987	6344.259	5863.0576	8754.518	155.70529	9012.414	8471.49	1000.0	1000.0	345000	839.77997	100.58781	994.8199	429.42786	-843.0742	28.45825	1947.6096	44.96337	2029.0101	1896.3558	2066.6665	39.061203	2135.5076	2021.205	12459.355922460556
70	5878.7617	399.88986	6214.8745	5113.089	8770.393	200.63843	8990.635	8436.233	1000.0	1000.0	350000	842.61676	99.5578	994.71655	424.47882	-845.7076	29.181532	2000.7227	28.706528	2045.8674	1965.8419	2118.7534	29.76316	2168.0583	2083.5693	12644.320209026337
71	5636.23	377.03516	6098.06	4971.443	8569.8125	1191.7627	9310.013	5062.7905	1000.0	1000.0	355000	845.1133	99.717064	1001.0549	424.28543	-848.2809	29.837366	2003.3688	63.116432	2099.7417	1919.0791	2119.7349	54.85762	2201.924	2043.8789	12829.16506409645
