Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
42	4620.5093	133.45558	4785.994	4439.3975	6268.595	115.896034	6464.816	6116.5854	1000.0	1000.0	210000	570.43176	70.0008	662.1148	247.49156	-572.45795	14.610706	216.96432	11.248968	233.12836	198.09413	264.35138	9.221599	278.17123	249.2337	334.4384	14.890385	353.5925	308.59418	370.65985	12.846351	388.14868	348.64682	5231.438867092133
43	4570.665	296.19254	4740.4653	3980.3018	6266.0557	189.26265	6529.093	5853.5103	1000.0	1000.0	215000	574.00684	70.9178	669.2564	259.67114	-576.46387	14.483761	224.17786	10.298289	238.41182	207.05058	271.1103	9.620689	285.50253	255.94617	341.03107	9.838028	349.99686	322.56577	376.89734	9.5601845	387.5821	359.66043	5360.489866018295
44	4828.007	245.16881	5176.16	4440.853	5811.676	681.1796	6314.6606	3922.2698	1000.0	1000.0	220000	577.9676	71.40658	675.8675	263.44467	-580.1911	14.250866	224.21371	14.08721	250.08377	209.41722	270.8011	12.162514	293.186	258.58496	342.22113	16.593422	372.3606	322.7643	377.81183	14.871172	405.00616	361.23837	5489.0673391819
45	4766.6245	208.85284	4959.8335	4445.5903	6283.712	119.9155	6506.97	6107.427	1000.0	1000.0	225000	581.75916	71.69373	674.62067	265.08777	-584.0862	14.65416	224.18669	9.288589	239.54803	212.10727	270.8955	8.6552515	285.31583	260.84964	341.60907	9.722297	355.78937	326.17172	377.2815	8.977604	391.11398	363.86676	5616.450628995895
46	4776.2373	98.304306	4908.7036	4655.704	6221.33	264.5934	6482.0674	5508.7417	1000.0	1000.0	230000	585.7903	71.83387	680.13055	249.39406	-588.17053	14.973209	217.02974	14.034402	244.59747	205.39526	264.54922	11.450487	286.85052	254.45636	333.7798	18.84686	371.073	320.2277	370.44727	16.248327	402.55313	358.23633	5744.054558753967
47	4809.341	118.00212	4982.626	4672.1826	6566.431	150.99434	6879.1494	6313.041	1000.0	1000.0	235000	590.48395	68.764984	686.0425	257.3004	-592.77423	14.772545	227.81973	6.1707892	234.93391	219.06071	274.1291	4.984314	280.7058	266.99615	345.4261	8.563991	358.0272	334.68695	381.21606	7.432863	391.94427	371.47134	5870.644269943237
48	4856.497	150.38588	5019.512	4624.899	6594.048	150.18271	6796.586	6256.2715	1000.0	1000.0	240000	594.23047	67.41423	687.96216	263.66266	-596.5892	14.710656	225.02373	9.98165	242.42494	214.65492	271.3078	9.11451	287.30536	261.36606	343.5345	10.449689	360.60184	331.77106	379.0188	9.776249	395.41193	368.55133	5999.387992858887
49	4716.9463	172.19029	4853.0005	4377.543	6463.327	256.58374	6829.2065	5861.2974	1000.0	1000.0	245000	597.39435	67.41833	689.8452	255.23912	-599.5474	14.504259	234.08418	6.576774	246.2373	227.77914	279.03775	5.079595	288.0575	273.68134	354.38757	9.64755	372.97684	346.28033	388.7743	8.282603	404.6677	381.42218	6127.282128334045
50	4846.7725	182.64171	5122.6978	4597.773	6624.9795	138.04172	6843.672	6414.515	1000.0	1000.0	250000	600.358	68.97746	696.4362	254.0061	-602.6174	15.323085	227.96524	8.839376	239.08824	215.40309	273.78363	7.7185893	283.10696	262.56284	347.12054	10.246428	361.66455	333.46573	382.37823	9.237925	395.04337	369.96448	6254.543632745743
51	4594.0703	364.20126	4939.5444	3899.2815	6545.041	311.83878	6865.6865	5681.457	1000.0	1000.0	255000	604.6579	65.60435	695.7651	258.6659	-606.93915	15.39408	243.51514	6.332779	248.2504	231.57008	287.09256	6.268035	292.97443	275.7931	365.54327	5.792815	369.977	354.57254	399.12653	5.573746	403.869	388.3316	6383.426024913788
52	4919.3804	121.220436	5051.719	4707.1924	6532.2773	137.87878	6810.847	6366.28	1000.0	1000.0	260000	608.1261	64.282104	702.04663	272.9503	-610.4223	14.774358	229.91837	8.23856	243.55632	219.3657	274.84027	7.3077445	286.84457	265.4837	351.4526	8.91241	366.25003	339.9097	385.61642	8.092122	399.12854	375.17233	6510.469146966934
53	4935.5474	82.157104	5094.689	4870.4478	6740.5967	103.430954	6910.325	6580.029	1000.0	1000.0	265000	611.0315	65.05468	702.91376	278.47708	-613.3477	14.7918825	237.59038	8.168617	252.12442	229.7381	281.448	7.334343	294.19342	273.91837	360.77655	9.05848	377.46024	351.68237	394.3964	8.17226	409.29932	386.3388	6638.738411903381
54	4566.176	512.76074	5341.321	4001.533	6252.4736	137.02486	6511.1284	6051.954	1000.0	1000.0	270000	613.294	67.01678	705.4904	276.84784	-615.5798	14.690881	252.25418	11.662018	264.72583	232.009	293.95718	11.058175	306.56635	275.36798	378.1083	10.670317	386.4534	358.14297	409.76895	10.566619	419.05887	390.35202	6767.840936660767
55	4970.2725	136.31299	5149.9355	4771.128	6211.139	244.11212	6551.866	5748.4688	1000.0	1000.0	275000	615.7012	67.88217	706.81726	264.6215	-618.0427	14.7645235	233.20528	6.331544	243.01778	223.19896	277.83188	5.304899	285.9887	269.43585	355.0038	8.16335	367.24496	342.63263	389.3739	7.312732	400.62506	378.25302	6897.023151397705
56	4896.2734	180.49097	5098.7354	4657.083	6585.9546	112.13526	6798.555	6420.6606	1000.0	1000.0	280000	618.7968	66.984344	709.0059	275.8639	-621.19543	15.200584	255.35071	13.967788	273.47055	234.9555	296.81085	11.49616	311.66977	279.88187	381.2408	18.405375	405.36063	355.3262	412.64032	16.083452	433.62616	389.62814	7025.897821903229
57	5004.6226	180.2169	5192.544	4664.9604	6493.2114	159.87186	6748.6377	6105.5474	1000.0	1000.0	285000	621.7833	67.83219	711.4706	287.45847	-624.1128	14.798588	245.17632	10.904005	265.91757	235.58826	288.08298	9.740238	306.6195	279.42303	368.70123	11.669211	390.9211	358.96387	401.7287	10.65893	422.01202	392.8024	7154.336071252823
58	4683.2607	410.9223	5097.572	3896.9275	6761.413	143.35905	6968.9707	6492.1494	1000.0	1000.0	290000	624.47473	68.89987	718.0333	279.38803	-626.80774	14.887857	245.25305	15.434305	267.70706	228.90738	289.11642	14.118868	311.3778	275.2642	365.53772	16.879908	386.04385	341.56946	399.71628	15.118252	417.37625	379.77435	7283.735943078995
59	4760.175	238.2683	4936.586	4295.4385	6535.6523	264.4527	6837.499	5992.9385	1000.0	1000.0	295000	627.34796	68.5082	718.43176	282.5627	-629.8924	15.822373	249.43457	2.441753	253.38031	246.09453	292.06122	3.1917508	297.92535	288.44135	372.9495	2.9737875	377.3449	369.36523	405.51605	1.8498073	408.41376	403.75027	7412.393122911453
60	5019.861	123.162186	5202.4644	4821.047	6987.376	153.90604	7289.7446	6748.5596	1000.0	1000.0	300000	630.0557	68.25553	722.50256	285.83344	-632.6257	15.176861	252.37753	2.076658	254.83995	249.75615	293.31335	1.2504686	294.89246	291.67685	380.83905	4.185662	386.9041	375.87155	411.4937	3.3895478	416.2291	407.50986	7542.03996348381
