Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpUncertainty	StdEpUncertainty	MaxEpUncertainty	MinEpUncertainty	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
60	3781.2642	96.622795	3861.026	3601.74	1306.7488	27.093561	1334.467	1255.6398	5208.219	164.22696	5328.743	4754.775	1000.0	1000.0	300000	468.0082	37.10171	521.8316	259.18704	-469.9479	9.822592	6183.721782207489
61	3399.3843	831.6194	4019.0842	1761.4468	1491.9908	339.05273	2169.923	1313.6182	5053.6733	64.22949	5164.644	4914.61	1000.0	1000.0	305000	469.2087	37.036137	520.8336	257.64743	-471.1273	9.624291	6335.085565567017
62	3775.4739	151.7562	3949.9026	3510.7034	1317.5447	13.321512	1339.535	1297.6865	5377.164	120.7024	5499.3633	5133.0957	1000.0	1000.0	310000	470.15732	37.751175	521.8769	254.46452	-472.1867	9.896699	6486.85964012146
63	3808.2207	63.74766	3889.558	3704.5808	1316.2202	35.00472	1375.2643	1267.9569	5137.026	127.80632	5355.9937	4923.6724	1000.0	1000.0	315000	471.0296	38.291023	524.05273	247.01976	-472.9472	9.79199	6639.621327161789
64	3845.4922	115.72606	4005.2502	3708.244	1295.9805	18.802515	1316.6283	1272.6605	5402.882	73.643776	5495.4795	5240.309	1000.0	1000.0	320000	471.8951	38.754745	524.076	242.04147	-473.88565	9.97185	6793.077112674713
65	3759.8745	107.43647	3948.148	3628.0732	1315.3373	30.288626	1364.4572	1270.0942	5358.0664	75.111885	5448.8623	5214.695	1000.0	1000.0	325000	472.84055	39.19674	524.83295	236.18939	-474.67426	9.947904	6943.850358963013
66	3832.0305	36.31692	3875.212	3782.5696	1293.5275	25.862053	1324.8549	1249.5322	5327.1133	86.870186	5487.784	5199.8477	1000.0	1000.0	330000	473.8947	39.511963	526.06525	227.34085	-475.7269	9.9399605	7098.641091108322
67	3825.1946	148.20186	4087.0264	3660.184	1309.7819	23.424797	1337.0986	1272.5157	5216.04	149.13667	5416.4116	4857.9272	1000.0	1000.0	335000	474.93997	39.84589	526.7068	225.78084	-476.8996	10.04094	7252.734149456024
68	3766.5195	234.35208	3968.9795	3345.775	1324.2659	26.845644	1358.2412	1281.5853	5357.8823	60.85846	5415.2856	5213.589	1000.0	1000.0	340000	476.20172	39.894817	528.3668	223.54736	-478.25906	10.144556	7406.788137674332
69	3889.727	52.631893	3990.6682	3848.116	1313.76	18.647556	1343.1421	1293.4596	5229.638	102.420555	5400.2554	5101.6724	1000.0	1000.0	345000	477.1437	39.995922	528.43115	220.47559	-479.1464	10.160658	7564.5652866363525
