Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	AverageEpVarUncertainty	StdEpVarUncertainty	MaxEpVarUncertainty	MinEpVarUncertainty	AverageEpVarUncertaintyClipped	StdEpVarUncertaintyClipped	MaxEpVarUncertaintyClipped	MinEpVarUncertaintyClipped	AverageEpStdUncertainty	StdEpStdUncertainty	MaxEpStdUncertainty	MinEpStdUncertainty	AverageEpStdUncertaintyClipped	StdEpStdUncertaintyClipped	MaxEpStdUncertaintyClipped	MinEpStdUncertaintyClipped	Time
59	5721.8633	255.49954	6126.1353	5448.3726	8250.693	113.173965	8446.057	8067.3423	1000.0	1000.0	295000	774.52344	156.51706	937.42487	281.63892	-776.9699	27.342056	1740.9635	26.179548	1782.5238	1712.7568	1872.3274	19.714266	1900.53	1845.4292	2799.191	39.25009	2863.714	2763.0295	2879.1968	33.33817	2932.1648	2850.5393	29422.669600963593
60	5923.6377	185.17963	6237.9497	5696.745	7605.5063	1317.7063	8172.5938	3660.9082	1000.0	1000.0	300000	765.22437	169.45233	934.35736	299.0986	-768.58673	26.6832	1834.6243	17.059486	1849.168	1803.0535	1937.8512	17.68803	1951.4003	1903.3579	2950.1216	30.414621	2976.5486	2898.7493	3009.4897	25.429588	3033.6086	2970.7537	29792.075288057327
61	5769.1836	145.22957	5960.9775	5516.993	7776.9766	82.740555	7932.3022	7649.73	1000.0	1000.0	305000	757.2899	181.26787	929.4313	333.6555	-760.0328	26.842232	1872.1067	34.213894	1919.617	1824.5759	1969.0852	27.855848	2006.2838	1936.7004	2997.4233	49.785984	3066.3164	2914.612	3050.7195	43.90073	3110.7043	2977.8386	30161.468774080276
62	5713.5786	99.28444	5814.4263	5567.5483	7690.7227	119.81051	7863.115	7471.063	1000.0	1000.0	310000	749.98157	192.96011	931.6627	306.63144	-752.4862	26.68476	1908.1777	36.75646	1947.5822	1845.9315	2005.524	31.996195	2043.4055	1949.6772	3023.3928	44.889816	3071.6272	2958.2136	3076.8545	40.007824	3116.0203	3013.9175	30533.757774829865
63	4954.032	1366.262	5804.4473	2229.5195	7837.628	284.08463	8256.162	7283.3237	1000.0	1000.0	315000	743.12427	204.44177	928.5733	278.15765	-745.7977	26.802809	1960.575	207.8342	2373.5906	1812.9695	2061.2751	197.39465	2453.9856	1924.957	3050.4766	174.53471	3394.7483	2911.4612	3103.9927	171.33386	3442.4915	2969.9456	30905.463262081146
64	5639.173	367.92194	6063.829	5125.0103	8181.5454	69.79479	8300.775	8069.2007	1000.0	1000.0	320000	738.55176	213.64015	926.5096	253.14175	-741.2507	27.330362	1890.8223	53.547253	1934.683	1790.7935	1992.2959	45.543457	2030.4482	1906.5348	2999.1265	62.85417	3048.9307	2885.1206	3051.9155	57.494267	3094.702	2946.6133	31272.875540733337
65	5869.209	210.35583	6226.8164	5617.357	7347.551	181.76117	7584.786	7089.0767	1000.0	1000.0	325000	734.9669	221.48828	927.9663	225.73509	-738.1271	26.57112	1845.0973	67.49146	1910.0526	1734.1589	1956.9459	59.99783	2014.7523	1855.5164	2938.7805	73.44275	3012.1968	2827.9548	3000.153	68.92884	3068.8801	2894.0664	31644.45303797722
66	5794.798	216.58203	6015.396	5445.0205	7853.443	203.2519	8180.4395	7471.661	1000.0	1000.0	330000	732.21545	228.27724	930.0969	206.46625	-735.6633	26.732075	1878.5354	38.439594	1944.5168	1825.1053	1978.6967	31.79547	2034.029	1935.0841	2996.1833	48.048775	3070.365	2928.5842	3049.7659	42.339775	3115.5994	2988.593	32016.310655117035
67	5753.5225	140.37315	5951.304	5607.1494	7814.4736	70.74128	7912.082	7699.351	1000.0	1000.0	335000	729.86957	234.34068	931.17377	185.14708	-732.6911	28.08703	1873.9359	57.901863	1953.8254	1819.305	1979.9391	47.903385	2044.527	1932.4841	2978.384	74.03906	3085.1138	2898.4927	3035.7214	68.02724	3131.3833	2965.2788	32389.530903100967
68	5758.731	228.8873	6076.2295	5539.907	8270.504	109.911606	8437.469	8076.9995	1000.0	1000.0	340000	728.4671	240.08366	929.4806	161.05061	-730.9908	27.447443	1831.4346	59.578056	1914.3593	1743.0157	1938.0518	50.99516	2007.5016	1861.5581	2942.391	68.951004	3041.4783	2844.3262	2996.5442	64.18226	3088.1548	2904.072	32761.908417463303
69	5891.1133	233.71092	6268.592	5614.475	8115.0024	171.97182	8350.798	7802.5303	1000.0	1000.0	345000	728.25867	244.63243	927.16547	147.09305	-731.064	28.336441	1815.8988	30.155615	1844.6681	1758.9288	1927.5322	25.868181	1956.5117	1879.7712	2915.61	37.8914	2952.0386	2844.8425	2976.018	33.4838	3004.4263	2912.9197	33133.22036552429
