Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
53	6213.294	201.23882	6521.3315	5889.6543	6725.1226	99.50639	6862.2173	6530.0977	1000.0	1000.0	265000	477.81625	117.121704	561.15027	-19.455692	477.81607	117.11781	563.1819	-31.916132	-479.7359	34.967636	2844.5049850940704
54	6319.5835	164.42421	6571.043	6103.1934	7018.5063	101.226616	7198.787	6890.24	1000.0	1000.0	270000	480.12042	117.33153	567.1405	-46.175587	480.12048	117.32921	565.91907	-35.05487	-482.0801	36.130157	2899.805796146393
55	6418.4985	161.76743	6646.029	6148.7246	6393.098	158.519	6538.752	6020.4785	1000.0	1000.0	275000	482.84784	116.36624	566.0105	-46.98021	482.84723	116.36281	566.7928	-61.920452	-484.55084	34.909286	2960.0553481578827
56	6464.659	124.14364	6570.444	6228.0693	7051.3594	112.97818	7228.784	6871.195	1000.0	1000.0	280000	485.4033	115.71622	566.7717	-34.065807	485.4033	115.71288	567.6039	-30.007225	-487.33786	36.00656	3021.7443010807037
57	6525.788	42.476532	6576.0703	6454.0083	6530.814	102.189026	6636.0483	6329.497	1000.0	1000.0	285000	487.76865	115.60645	576.2406	-39.540966	487.76904	115.6018	577.1547	-29.751451	-489.7227	35.10598	3087.1663842201233
58	6229.3477	368.2564	6623.878	5544.55	6785.8193	198.91248	7194.5117	6420.6094	1000.0	1000.0	290000	490.42667	115.16723	577.94336	-22.75043	490.4263	115.163795	577.60223	-29.658905	-492.6272	35.73194	3150.4043922424316
59	6281.3223	194.97887	6525.042	6012.979	7058.3047	95.62156	7191.638	6891.238	1000.0	1000.0	295000	492.61874	115.296036	580.11255	-40.339497	492.6188	115.292755	579.45135	-35.192303	-494.08304	37.84153	3216.0328850746155
60	6469.757	137.4852	6641.7363	6224.299	6247.9087	1199.0027	6821.9014	2659.986	1000.0	1000.0	300000	495.39398	114.400345	582.4014	-52.085136	495.39365	114.39637	582.2803	-46.54942	-497.1645	36.63181	3279.940441131592
61	6446.714	231.65051	6792.5444	6120.3354	6814.4336	54.432068	6903.434	6731.355	1000.0	1000.0	305000	497.78943	114.66941	585.6585	-19.83296	497.78998	114.66414	583.93384	-30.516123	-499.53595	37.086517	3347.1140489578247
62	6521.356	131.87767	6710.6475	6352.9185	6681.806	73.87831	6818.383	6594.348	1000.0	1000.0	310000	499.99667	114.19331	585.43005	-82.53461	499.99664	114.18951	585.36523	-67.16117	-501.9125	37.448143	3412.3746111392975
63	6423.081	54.428448	6520.142	6369.2515	6716.242	114.43668	6918.2036	6532.7573	1000.0	1000.0	315000	502.16632	114.24059	587.10626	-42.979195	502.16693	114.235985	586.8022	-38.262127	-503.8586	38.414795	3475.747005224228
64	6523.831	76.66095	6609.7046	6401.206	7228.379	104.21687	7346.027	6984.736	1000.0	1000.0	320000	504.27252	114.25148	588.746	-40.86463	504.2727	114.246506	588.85004	-28.716288	-506.2989	37.80798	3528.873638153076
65	6659.3164	107.60268	6781.1133	6483.7773	6921.0586	61.055756	7061.8975	6824.3657	1000.0	1000.0	325000	507.03607	113.41864	595.18585	-49.55677	507.0361	113.41421	595.0149	-49.52498	-508.9487	36.93729	3582.1779429912567
66	6673.043	88.80398	6811.995	6555.8647	7210.0757	84.68197	7315.085	7012.7627	1000.0	1000.0	330000	509.2228	113.638504	595.2052	-48.9495	509.22305	113.634995	594.33795	-54.96814	-511.19086	36.376976	3635.3050260543823
67	6632.901	75.90398	6722.426	6548.155	6518.396	119.51112	6678.4814	6332.821	1000.0	1000.0	335000	511.44748	113.86026	597.5936	-48.379734	511.4479	113.85494	596.6967	-49.35455	-513.2362	36.3509	3688.528023958206
68	6482.382	274.29123	6754.8257	6130.5254	6929.6353	90.58426	7068.328	6775.472	1000.0	1000.0	340000	513.22296	114.66922	597.0367	-75.447136	513.22327	114.66311	598.99457	-52.77162	-515.7112	36.360844	3741.6245250701904
69	6657.211	122.32972	6863.9165	6490.8384	7219.497	105.19573	7393.9385	7084.1987	1000.0	1000.0	345000	515.2522	114.34169	600.7763	-55.28726	515.2529	114.3353	598.32294	-48.877083	-517.1017	36.85177	3795.6962990760803
70	6821.7627	130.66827	7008.3223	6615.8247	7141.099	106.42267	7258.876	6883.3384	1000.0	1000.0	350000	517.478	114.055336	602.4882	-70.39648	517.4787	114.04973	602.527	-64.430046	-519.4006	35.87085	3848.2738139629364
71	6799.702	26.78684	6825.325	6752.7305	7060.1	72.99573	7156.716	6896.1685	1000.0	1000.0	355000	519.26215	114.69604	604.17456	-39.234344	519.2623	114.69119	605.09875	-32.504337	-521.3112	35.051517	3900.7445480823517
72	6878.2407	157.08078	7084.1	6614.3887	7027.6904	80.2781	7106.6035	6846.042	1000.0	1000.0	360000	521.8273	114.532234	606.1811	-75.00277	521.828	114.5249	607.55273	-82.505135	-523.69293	36.276836	3953.1850662231445
73	6811.0986	125.987274	6976.344	6672.502	7079.595	83.906334	7267.36	6972.5186	1000.0	1000.0	365000	524.1091	114.482994	610.51855	-61.234634	524.1097	114.4776	612.34326	-71.190765	-525.6603	35.634624	4005.60528922081
74	6822.95	90.282074	6917.7144	6684.234	7429.7236	101.33381	7600.839	7255.807	1000.0	1000.0	370000	526.5987	113.99948	612.9155	-42.7932	526.5989	113.99539	611.4793	-33.248264	-528.3248	35.03889	4058.0974712371826
